Areas,Age,Cases,Year,Disease
Zone: 18,Total,0,2007,HepatitisB
Narathiwat,Total,0,2007,HepatitisB
Pattani,Total,0,2007,HepatitisB
Yala,Total,0,2007,HepatitisB
Zone: 19,Total,0,2007,HepatitisB
Satun,Total,0,2007,HepatitisB
Songkhla,Total,0,2007,HepatitisB
Total,0,0,2007,HepatitisB
North Region,0,0,2007,HepatitisB
Zone: 1,0,0,2007,HepatitisB
Chiang Mai,0,0,2007,HepatitisB
Chiang Rai,0,0,2007,HepatitisB
Lampang,0,0,2007,HepatitisB
Lamphun,0,0,2007,HepatitisB
Mae Hong Son,0,0,2007,HepatitisB
Nan,0,0,2007,HepatitisB
Phayao,0,0,2007,HepatitisB
Phrae,0,0,2007,HepatitisB
Zone: 2,0,0,2007,HepatitisB
Phetchabun,0,0,2007,HepatitisB
Phitsanulok,0,0,2007,HepatitisB
Sukhothai,0,0,2007,HepatitisB
Tak,0,0,2007,HepatitisB
Uttaradit,0,0,2007,HepatitisB
Zone: 3,0,0,2007,HepatitisB
Kamphaeng Phet,0,0,2007,HepatitisB
Nakhon Sawan,0,0,2007,HepatitisB
Phichit,0,0,2007,HepatitisB
Uthai Thani,0,0,2007,HepatitisB
Central Region,0,0,2007,HepatitisB
Bangkok,0,0,2007,HepatitisB
Zone: 4,0,0,2007,HepatitisB
Ang Thong,0,0,2007,HepatitisB
Nonthaburi,0,0,2007,HepatitisB
P.Nakhon S.Ayutthaya,0,0,2007,HepatitisB
Pathum Thani,0,0,2007,HepatitisB
Zone: 5,0,0,2007,HepatitisB
Chai Nat,0,0,2007,HepatitisB
Lop Buri,0,0,2007,HepatitisB
Saraburi,0,0,2007,HepatitisB
Sing Buri,0,0,2007,HepatitisB
Zone: 6,0,0,2007,HepatitisB
Kanchanaburi,0,0,2007,HepatitisB
Nakhon Pathom,0,0,2007,HepatitisB
Ratchaburi,0,0,2007,HepatitisB
Suphan Buri,0,0,2007,HepatitisB
Zone: 7,0,0,2007,HepatitisB
Phetchaburi,0,0,2007,HepatitisB
Prachuap Khiri Khan,0,0,2007,HepatitisB
Samut Sakhon,0,0,2007,HepatitisB
Samut Songkhram,0,0,2007,HepatitisB
Zone: 8,0,0,2007,HepatitisB
Chachoengsao,0,0,2007,HepatitisB
Nakhon Nayok,0,0,2007,HepatitisB
Prachin Buri,0,0,2007,HepatitisB
Sa Kaeo,0,0,2007,HepatitisB
Samut Prakan,0,0,2007,HepatitisB
Zone: 9,0,0,2007,HepatitisB
Chanthaburi,0,0,2007,HepatitisB
Chon Buri,0,0,2007,HepatitisB
Rayong,0,0,2007,HepatitisB
Trat,0,0,2007,HepatitisB
North-Eastern Region,0,0,2007,HepatitisB
Zone: 10,0,0,2007,HepatitisB
Loei,0,0,2007,HepatitisB
Nong Bua Lam Phu,0,0,2007,HepatitisB
Nong Khai,0,0,2007,HepatitisB
Udon Thani,0,0,2007,HepatitisB
Zone: 11,0,0,2007,HepatitisB
Kalasin,0,0,2007,HepatitisB
Mukdahan,0,0,2007,HepatitisB
Nakhon Phanom,0,0,2007,HepatitisB
Sakon Nakhon,0,0,2007,HepatitisB
Zone: 12,0,0,2007,HepatitisB
Khon Kaen,0,0,2007,HepatitisB
Maha Sarakham,0,0,2007,HepatitisB
Roi Et,0,0,2007,HepatitisB
Zone: 13,0,0,2007,HepatitisB
Buri Ram,0,0,2007,HepatitisB
Chaiyaphum,0,0,2007,HepatitisB
Nakhon Ratchasima,0,0,2007,HepatitisB
Surin,0,0,2007,HepatitisB
Zone: 14,0,0,2007,HepatitisB
Amnat Charoen,0,0,2007,HepatitisB
Si Sa Ket,0,0,2007,HepatitisB
Ubon Ratchathani,0,0,2007,HepatitisB
Yasothon,0,0,2007,HepatitisB
South Region,0,0,2007,HepatitisB
Zone: 15,0,0,2007,HepatitisB
Chumphon,0,0,2007,HepatitisB
Ranong,0,0,2007,HepatitisB
Surat Thani,0,0,2007,HepatitisB
Zone: 16,0,0,2007,HepatitisB
Nakhon Si Thammarat,0,0,2007,HepatitisB
Phatthalung,0,0,2007,HepatitisB
